user_id,username,email,gender,dob,occupation,institute,field,date_submitted,What is your opinion about the election?,What is your opinion about the election?_Predicted_Sentiment
4,user4,user4@mail.com,Female,1978-03-03,Accountant,Maybank,Finance,2023-07-17 22:41:51.361412,modi for youth progress and all young ppl support modiji had bar modi sarkar ,Positive
2,user2,user2@mail.com,Female,1990-12-12,Engineer,Google,Computer Science,2023-07-17 22:41:51.368412,hmm and send likes nirav modi away,Neutral
1,user1,user1@mail.com,Male,2000-01-01,Student,APU,Computer Science,2023-07-17 22:41:51.375412,her hubbys money laundry out order since modi came power that woman has been unemployed indv since all these 55yrs jobless even when her mom was the sorry,Negative
5,user5,user5@mail.com,Male,1960-06-06,Teacher,UM,Business,2023-07-17 22:41:51.381411,modi cannot fool people with such theatrics did not acknowledge the people behind this all did was try take credit this achievement,Negative
5,user5,user5@mail.com,Male,1960-06-06,Teacher,UM,Business,2023-07-17 22:41:51.388411,agree that this blatant misuse and must act but wonder these paper cups will convince people who were not going vote for him ooh here modis main bhi chowkidaar cup think will change mind and vote for him now ,Negative
4,user4,user4@mail.com,Female,1978-03-03,Accountant,Maybank,Finance,2023-07-17 22:41:51.394411,didnt ask proof ohh election near right must careful right now modi can track activity bangkok from setelight suggestionburkha pehen lena,Positive
2,user2,user2@mail.com,Female,1990-12-12,Engineer,Google,Computer Science,2023-07-17 22:41:51.402410,someonemodi wants make india powercountry the world map and someone rahul gandhi wants fulfill his childhood dream becoming choice ours between country and someone’ illogical and not achievable dream ,Positive
4,user4,user4@mail.com,Female,1978-03-03,Accountant,Maybank,Finance,2023-07-17 22:41:51.408411,modi criticised going for early elections now the question that who has permitted him ,Positive
1,user1,user1@mail.com,Male,2000-01-01,Student,APU,Computer Science,2023-07-17 22:41:51.416410,people who ask what has modi done for individual tell them about inflation and ask them when was the last time you shoutedcussed the government because the prices vegetablesfruits increased and they start changing the topic discussion,Neutral
3,user3,user3@mail.com,Male,2010-05-05,Doctor,Hospital KL,Healthcare,2023-07-17 22:41:51.422410,"congratulations modi finally saved all his counterparts
nirav modi saved vijay malya saved sushil modi saved amit sah saved mehul saved moral the story loot the country and run away modi will save you",Neutral
